index,string,shingles
0,aihhevdvxrcsqhacghqtargwuwrnhosiayznwnkie,acgh|aihh|argw|ayzn|cghq|csqh|dvxr|evdv|ghqt|gwuw|hacg|hevd|hhev|hosi|hqta|iayz|ihhe|nhos|nkie|nwnk|osia|qhac|qtar|rcsq|rgwu|rnho|siay|sqha|targ|uwrn|vdvx|vxrc|wnki|wrnh|wuwr|xrcs|yznw|znwn
1,ygKdcmDLltcizbxorhMcrjuTTlsgWcbvhyJchdmioulfLlvi,bvhy|bxor|cbvh|chdm|cizb|cmdl|crju|dcmd|dllt|dmio|fllv|gkdc|gwcb|hdmi|hmcr|hyjc|ioul|izbx|jchd|jutt|kdcm|lfll|lltc|llvi|lsgw|ltci|mcrj|mdll|miou|orhm|oulf|rhmc|rjut|sgwc|tciz|tlsg|ttls|ulfl|uttl|vhyj|wcbv|xorh|ygkd|yjch|zbxo
2,tuFrKhFxmiuwrhvKyNbbKmiCgsKgPpmoeiEhXr,bbkm|bkmi|cgsk|ehxr|eieh|frkh|fxmi|gppm|gskg|hfxm|hvky|icgs|iehx|iuwr|kgpp|khfx|kmic|kynb|micg|miuw|moei|nbbk|oeie|pmoe|ppmo|rhvk|rkhf|skgp|tufr|ufrk|uwrh|vkyn|wrhv|xmiu|ynbb
3,xsismlheqpcybdeufzvntcmmtoihravxvryukdjnfotaxx,avxv|bdeu|cmmt|cybd|deuf|djnf|eqpc|eufz|fota|fzvn|heqp|hrav|ihra|isml|jnfo|kdjn|lheq|mlhe|mmto|mtoi|nfot|ntcm|oihr|otax|pcyb|qpcy|ravx|ryuk|sism|smlh|taxx|tcmm|toih|ufzv|ukdj|vntc|vryu|vxvr|xsis|xvry|ybde|yukd|zvnt
4,qyfqedujuqtgelypryqatkladlzjhbhsccxpcyryeevprziqt,adlz|atkl|bhsc|ccxp|cxpc|cyry|dlzj|duju|eduj|eevp|elyp|evpr|fqed|gely|hbhs|hscc|jhbh|juqt|klad|ladl|lypr|lzjh|pcyr|pryq|przi|qatk|qedu|qtge|qyfq|ryee|ryqa|rziq|sccx|tgel|tkla|ujuq|uqtg|vprz|xpcy|yeev|yfqe|ypry|yqat|yrye|ziqt|zjhb
5,gryyxwgwjmvuloqpfhckasrshawhbhcbkcqhivpgrexssphzpzn,asrs|awhb|bhcb|bkcq|cbkc|ckas|cqhi|exss|fhck|grex|gryy|gwjm|hawh|hbhc|hcbk|hcka|hivp|hzpz|ivpg|jmvu|kasr|kcqh|loqp|mvul|oqpf|pfhc|pgre|phzp|qhiv|qpfh|rexs|rsha|ryyx|shaw|sphz|srsh|ssph|uloq|vpgr|vulo|wgwj|whbh|wjmv|xssp|xwgw|yxwg|yyxw|zpzn
6,ddVNlNoXbUdbmxXkdHgTrOefiOHczRdbuRaCyhFNp,acyh|bmxx|budb|bura|cyhf|czrd|dbmx|dbur|ddvn|dhgt|dvnl|efio|fioh|gtro|hczr|hfnp|hgtr|iohc|kdhg|lnox|mxxk|nlno|noxb|oefi|ohcz|oxbu|racy|rdbu|roef|troe|udbm|urac|vnln|xbud|xkdh|xxkd|yhfn|zrdb
7,gmbfmamhzzojnwxrvwpegjgbsxrbxkbbsopqqfbcfctcvhmdshtbo,amhz|bbso|bcfc|bfma|bsop|bsxr|bxkb|cfct|ctcv|cvhm|dsht|egjg|fbcf|fctc|fmam|gbsx|gjgb|gmbf|hmds|htbo|hzzo|jgbs|jnwx|kbbs|mamh|mbfm|mdsh|mhzz|nwxr|ojnw|opqq|pegj|pqqf|qfbc|qqfb|rbxk|rvwp|shtb|sopq|sxrb|tcvh|vhmd|vwpe|wpeg|wxrv|xkbb|xrbx|xrvw|zojn|zzoj
8,nvsqkigvwkhwimevuookycaotsdcrgqielchljforw,aots|caot|chlj|crgq|dcrg|elch|evuo|forw|gqie|gvwk|hljf|hwim|ielc|igvw|imev|jfor|khwi|kigv|kyca|lchl|ljfo|mevu|nvsq|okyc|ooky|otsd|qiel|qkig|rgqi|sdcr|sqki|tsdc|uook|vsqk|vuoo|vwkh|wime|wkhw|ycao
9,tzuqavrjvdetqyiddxwreijtqgwkgvuiqpibcunibakyeuifxorwnr,akye|avrj|baky|bcun|cuni|ddxw|detq|dxwr|eijt|etqy|euif|fxor|gvui|gwkg|ibak|ibcu|iddx|ifxo|ijtq|iqpi|jtqg|jvde|kgvu|kyeu|niba|orwn|pibc|qavr|qgwk|qpib|qyid|reij|rjvd|rwnr|tqgw|tqyi|tzuq|uifx|uiqp|unib|uqav|vdet|vrjv|vuiq|wkgv|wrei|xorw|xwre|yeui|yidd|zuqa
